START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
2016-1-26 12:33,2016-1-26 12:41,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies
2016-1-26 16:24,2016-1-26 16:32,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies
2016-1-26 17:17,2016-1-26 17:22,Business,Cary,Cary,1.4,Errand/Supplies
2016-1-26 17:27,2016-1-26 17:29,Business,Cary,Cary,0.5,Errand/Supplies
2016-1-27 9:24,2016-1-27 9:31,Business,Cary,Cary,1.8,Meeting
2016-1-27 10:19,2016-1-27 10:48,Business,Cary,Raleigh,18.7,Customer Visit
2016-1-27 12:34,2016-1-27 12:44,Business,Fairmont,Meredith Townes,3.4,Customer Visit
2016-1-27 14:05,2016-1-27 14:13,Business,Raleigh,Raleigh,2.7,Customer Visit
2016-1-27 14:46,2016-1-27 15:08,Business,Raleigh,Cary,12.9,Customer Visit
2016-1-28 12:28,2016-1-28 13:00,Business,Cary,Raleigh,19,Temporary Site
2016-1-28 15:11,2016-1-28 15:31,Business,Meredith Townes,Leesville Hollow,14.7,Meeting
2016-1-28 16:21,2016-1-28 16:51,Business,Raleigh,Cary,15.7,Meeting
2016-1-29 9:31,2016-1-29 9:45,Business,Cary,Cary,4.6,Customer Visit
2016-1-29 10:56,2016-1-29 11:07,Business,Cary,Cary,5.2,Meeting
2016-1-29 11:43,2016-1-29 12:03,Business,Cary,Durham,10.4,Meeting
2016-1-29 13:24,2016-1-29 13:47,Business,Durham,Cary,10.1,Meeting
2016-1-29 18:31,2016-1-29 18:52,Business,Cary,Apex,5.8,Errand/Supplies
2016-1-29 21:21,2016-1-29 21:40,Business,Apex,Cary,5.5,Meal/Entertain
2016-1-30 16:21,2016-1-30 16:33,Business,Cary,Apex,5.7,Errand/Supplies
2016-1-30 18:09,2016-1-30 18:24,Business,Apex,Cary,5.7,Customer Visit
2016-2-1 10:35,2016-2-1 11:15,Business,Cary,Chapel Hill,19.4,Customer Visit
2016-2-1 12:10,2016-2-1 12:43,Business,Chapel Hill,Cary,23.3,Customer Visit
2016-2-1 12:56,2016-2-1 13:07,Business,Northwoods,Whitebridge,3.9,Meal/Entertain
2016-2-2 13:04,2016-2-2 13:23,Business,Whitebridge,Williamsburg Manor,8.3,Meeting
2016-2-2 13:51,2016-2-2 14:06,Business,Cary,Cary,6,Errand/Supplies
2016-2-2 14:38,2016-2-2 14:42,Business,Cary,Cary,1.6,Errand/Supplies
2016-2-4 8:40,2016-2-4 9:01,Business,Cary,Morrisville,5.2,Errand/Supplies
2016-2-4 9:37,2016-2-4 10:09,Business,Morrisville,Cary,9.7,Meal/Entertain
2016-2-4 10:26,2016-2-4 10:32,Business,Cary,Cary,1.6,Meal/Entertain
2016-2-4 15:59,2016-2-4 16:03,Business,Cary,Cary,1.1,Meal/Entertain
2016-2-4 16:35,2016-2-4 16:39,Business,Cary,Cary,1.6,Meal/Entertain
2016-2-4 18:04,2016-2-4 18:31,Business,Whitebridge,Macgregor Downs,9,Meeting
2016-2-4 20:36,2016-2-4 20:55,Business,Cary,Cary,7.7,Meeting
2016-2-5 11:47,2016-2-5 12:07,Business,Cary,Durham,10.4,Meeting
2016-2-5 13:22,2016-2-5 13:41,Business,Durham,Cary,10.4,Meeting
2016-2-6 16:20,2016-2-6 16:53,Business,Cary,Raleigh,11.4,Between Offices
2016-2-6 18:57,2016-2-6 19:21,Business,Raleigh,Cary,9,Errand/Supplies
2016-2-6 19:28,2016-2-6 19:37,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain
2016-2-7 16:49,2016-2-7 17:01,Business,Cary,Apex,5.6,Errand/Supplies
2016-2-7 18:03,2016-2-7 18:17,Business,Apex,Cary,5.7,Customer Visit
2016-2-7 18:39,2016-2-7 18:53,Business,Cary,Morrisville,6.1,Temporary Site
2016-2-7 20:22,2016-2-7 20:40,Business,Morrisville,Cary,6.1,Meeting
2016-2-8 12:57,2016-2-8 13:08,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain
2016-2-8 14:00,2016-2-8 14:10,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain
2016-2-9 10:54,2016-2-9 11:07,Personal,Whitebridge,Northwoods,5.3,
2016-2-9 11:43,2016-2-9 11:50,Personal,Northwoods,Tanglewood,3,
2016-2-9 13:36,2016-2-9 13:52,Personal,Tanglewood,Preston,5.1,
2016-2-9 13:58,2016-2-9 14:02,Personal,Preston,Whitebridge,1.5,
2016-2-9 18:55,2016-2-9 19:11,Business,Cary,Morrisville,6.1,
2016-2-9 20:24,2016-2-9 20:40,Business,Morrisville,Cary,6.1,Meal/Entertain
2016-2-11 16:28,2016-2-11 17:10,Business,Cary,Raleigh,17.3,Meal/Entertain
2016-2-11 17:49,2016-2-11 18:10,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain
2016-2-11 18:24,2016-2-11 18:46,Business,Raleigh,Morrisville,13.5,Temporary Site
